,RT,m/z,Polarity,Area (Max.),ID,molec_class,Features Found,20211113_Ernie_nLipid_60min_r_1950_3.raw (F1),20211113_Ernie_nLipid_60min_r_1950_4.raw (F2),20211113_Ernie_nLipid_60min_r_1950_5.raw (F3),20211113_Ernie_nLipid_60min_15k_1950_1.raw (F4),20211113_Ernie_nLipid_60min_15k_1950_2.raw (F5),20211113_Ernie_nLipid_60min_15k_1950_3.raw (F6),mean,is_id,C,unsat,C_cat,unsat_cat
1732,17.511,365.30255,+,1051793.935,,,3,738156.0627,419707.6291,1051793.935,399281.1345,716318.8669,821087.1123,,False,,,,
1733,17.513,491.37088,+,3586137.028,,,3,2464752.694,3160770.846,2029088.99,2237740.798,3079682.057,3586137.028,,False,,,,
1734,17.513,529.34375,+,970009.8428,,,2,888230.7799,782448.0299,970009.8428,845383.5012,827057.535,902559.1555,,False,,,,
1735,17.516,329.17474,+,1068072.271,,,1,1068072.271,860531.5159,921170.2831,810838.4837,688158.3886,905682.8412,,False,,,,
1736,17.518,550.38593,+,30414251.83,LysoPC 20:1,LysoPC,3,30414251.83,26695195.81,18461493.82,15116700.69,22310727.62,22888022.9,,True,20.0,1.0,20.0,1.0
1737,17.518,289.25226,+,5539693.907,,,1,291267.1181,4316903.873,5539693.907,794283.7667,477120.8696,636540.8478,,False,,,,
1738,17.519,865.24304,+,15694199.71,,,6,10906808.55,15694199.71,14183642.18,12114704.81,14958353.77,11814115.13,,False,,,,
1739,17.52,820.28717,+,4495673.434,,,2,3122126.582,2386694.03,3039577.161,1929009.558,4117753.392,4495673.434,,False,,,,
1740,17.525,435.28668,+,7253460.132,,,6,7253460.132,7046134.084,6307791.773,6303070.524,4368773.08,5048260.624,,False,,,,
1741,17.527,386.32574,+,73429693.8,,,3,60553308.81,55534715.52,65412330.37,68102922.1,67740383.6,73429693.8,,False,,,,
1742,17.527,429.32089,+,2907795.363,,,3,2548306.416,2907795.363,2750456.22,2087078.111,2266784.306,2183378.752,,False,,,,
