Retention Time (min),Quant Ion,Polarity,Area (max),Identification,Lipid Class,Features Found,20191118_KAO_1uLPool.raw (F1),20191118_KAO_2pt5uLPool.raw (F2),20191118_KAO_5uLPool.raw (F3),20191118_KAO_5uLPool_20191118202447.raw (F4),20191118_KAO_5uLPool_20191119024733.raw (F5),20191118_KAO_methodBlank.raw (F6),20191118_KAO_methodBlank_20191119031929.raw (F7),20191118_KAO_T550M.raw (F8),20191118_KAO_T551M.raw (F9),20191118_KAO_T552M.raw (F10),20191118_KAO_T553M.raw (F11),20191118_KAO_T562M.raw (F12),20191118_KAO_T568M.raw (F13),20191118_KAO_T569M.raw (F14),20191118_KAO_T570M.raw (F15),20191118_KAO_T571M.raw (F16),20191118_KAO_T582M.raw (F17),20191118_KAO_T650M.raw (F18),20191118_KAO_T651M.raw (F19),20191118_KAO_T652M.raw (F20),20191118_KAO_T653M.raw (F21),20191118_KAO_T690M.raw (F22),20191118_KAO_T691M.raw (F23),20191118_KAO_T692M.raw (F24),20191118_KAO_T713M.raw (F25),20191118_KAO_T714M.raw (F26),20191118_KAO_T715M.raw (F27),20191118_KAO_waterBlank_20191119035125.raw (F28)
2.246,776.57269,+,951935.797,,,23,711515.2604,498400.6782,136024.8883,136202.5053,151315.0017,307428.3528,313109.4124,680058.2001,453211.4222,589564.3716,675208.5504,681242.4073,559161.5904,547337.831,633657.1624,951935.797,567627.268,567763.512,529383.0703,515059.157,255328.2278,608319.2718,688349.482,617540.0258,685570.6433,547670.8264,915737.6142,2313.64147
2.262,732.54694,+,1502282.241,,,22,1005885.19,725657.3993,205642.4089,203887.7123,214174.4932,447286.0992,486179.7814,986099.8726,657162.8636,830411.865,957379.0707,961311.7908,543077.5502,794414.6335,943242.0026,1502282.241,893563.9546,848401.7897,931885.7953,720006.6963,382361.3221,864905.4625,992585.8604,910324.1568,1066689.763,851081.773,1241505.072,2390.749991
2.264,451.35379,+,202802.8556,,,7,43025.00987,57530.50328,132571.2418,131910.3656,121834.7339,2632.203855,2421.036956,98129.60784,101400.3826,129294.4006,86181.28832,145023.4737,131188.1846,44451.66644,202802.8556,96449.00486,166255.3245,44631.87191,148946.1308,173872.4527,128689.7801,198303.4468,101087.0093,71315.9185,175326.4741,104633.7997,129243.5573,936.6777865
2.273,688.52063,+,2152975.437,,,25,1502322.687,1084832.205,309289.0509,299961.7495,292723.7521,651903.0174,645647.6806,1315576.768,880982.1352,1274044.237,1091720.253,1379570.123,1046321.881,1117381.153,1335057.597,2152975.437,1257098.227,1079954.458,1261149.164,1000703.718,587273.2973,1274799.63,1394287.759,1435383.649,1932565.071,1236536.096,2079728.041,2388.178657
2.286,644.49432,+,2745452.91,,,26,2066922.752,1466646.544,386721.2206,369627.4032,411146.8223,717727.0315,829988.7166,1582894.417,876910.7618,1592754.682,1887406.003,1887084.201,1425169.956,1564525.411,1626933.67,2745452.91,1733056.86,1504070.311,1699182.692,1523069.724,735464.9615,1644144.657,1758178.42,1869874.673,2495117.955,1683047.183,2595293.884,2453.426325
2.293,363.31036,+,1122857.785,,,20,830280.1916,669532.8384,60066.98686,57072.08952,65027.96899,345230.1834,306858.7922,510554.1874,401924.8614,642315.2183,847387.5776,796447.0084,628287.246,705262.5145,712747.1466,855789.7351,768846.6726,602507.1622,671310.2527,806672.944,307799.3022,744493.5334,651292.3825,702797.5626,922596.1646,677504.0067,1122857.785,2452.174136
2.297,600.46808,+,3274725.234,,,24,2491084.152,1359738.759,449688.5574,485027.2425,484380.3114,924214.9358,1070259.472,2099679.245,1464636.385,1947138.733,2418249.825,2301999.822,1714298.337,1915939.046,1774895.202,3193521.652,2154430.544,1830904.722,2006838.012,1653973.65,901855.1677,2163432.192,2027235.12,2183982.152,2974305.694,1874038.749,3274725.234,2503.420341
2.311,512.41583,+,2788161.14,,,25,2387253.639,1535250.867,336697.3082,345784.7942,331821.6261,881273.3622,884315.5992,1563315.569,1201478.498,1734993.746,2060951.152,2110956.321,1590952.968,1593528.894,1761085.326,2788161.14,1969895.515,1571193.391,1720915.361,1920645.384,793515.1905,1401164.82,1848876.037,2055900.981,2526604.638,1855136.262,2749276.56,2379.070055
2.321,468.38937,+,2757099.026,,,26,1761736.765,1550707.457,282019.8303,260284.1454,265591.8387,831233.9425,717202.1985,1462159.357,1133474.507,1545358.414,1956168.227,1939386.992,1454320.696,1518386.999,1716976.233,2025601.965,1883313.983,1448299.946,1594836.335,1798040.279,791374.6919,1767395.749,1764072.898,1870917.626,2447621.208,1526206.197,2757099.026,2417.780014
2.323,424.36307,+,1733995.505,,,21,1492715.285,1056947.476,129306.611,142357.5988,134586.4576,553985.4008,538866.6577,875324.9351,699518.5587,987345.6184,1262512.583,1336607.201,955896.8963,1067004.767,1107003.785,1446288.302,1171339.467,1004023.453,916376.7297,1233236.653,600371.0638,1223332.22,1109673.739,1191080.524,1412336.138,1052015.451,1733995.505,2459.711112
